Date : 2025-05-26 15:52:06
Directory : c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front
Total : 213 files,  15334 codes, 48 comments, 1102 blanks, all 16484 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\redux                                                                                                                |         21 |      1,532 |          0 |        251 |      1,783 |
| src\redux (Files)                                                                                                        |          1 |         45 |          0 |          7 |         52 |
| src\redux\actions                                                                                                        |          6 |        362 |          0 |         90 |        452 |
| src\redux\reducers                                                                                                       |          7 |        565 |          0 |         68 |        633 |
| src\redux\saga                                                                                                           |          7 |        560 |          0 |         86 |        646 |
| src\styles                                                                                                               |          2 |         26 |          4 |          9 |         39 |
| src\utils                                                                                                                |         10 |        168 |          0 |         31 |        199 |
| src\utils (Files)                                                                                                        |          5 |         73 |          0 |         18 |         91 |
| src\utils\models                                                                                                         |          5 |         95 |          0 |         13 |        108 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                 | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\.eslintrc.cjs                                                    | JavaScript         |         85 |          0 |          1 |         86 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\index.html                                                       | HTML               |         13 |          0 |          1 |         14 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\package-lock.json                                                | JSON               |      8,264 |          0 |          1 |      8,265 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\package.json                                                     | JSON               |         57 |          0 |          1 |         58 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\add-image.svg                                       | XML                |          4 |          0 |          1 |          5 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\add-list.svg                                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\add-photo.svg                                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\add-uder.svg                                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-chevron-down.svg                              | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-chevron-left.svg                              | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-chevron-right.svg                             | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-chevron-up.svg                                | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-reverse.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-to-down-bold.svg                              | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-to-left-bold.svg                              | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-to-right-bold.svg                             | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-to-top-bold.svg                               | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\attachment.svg                                      | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\check-circle-fill.svg                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\check-circle-outline.svg                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\check.svg                                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\close-bold.svg                                      | XML                |          2 |          0 |          0 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\close-circle-fill.svg                               | XML                |         10 |          1 |          1 |         12 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\close-circle.svg                                    | XML                |          5 |          0 |          0 |          5 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\close.svg                                           | XML                |          6 |          1 |          1 |          8 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\copy.svg                                            | XML                |          5 |          0 |          0 |          5 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\desktop.svg                                         | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\dots.svg                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\edit.svg                                            | XML                |          6 |          1 |          1 |          8 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\email-success.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\email.svg                                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\eye-closed-filled.svg                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\eye-closed.svg                                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\eye-open-filled.svg                                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\eye-open.svg                                        | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\food.svg                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\history.svg                                         | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\home.svg                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\image.svg                                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\info-filled.svg                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\info.svg                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\key.svg                                             | XML                |          5 |          0 |          0 |          5 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\lock.svg                                            | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\logout.svg                                          | XML                |          5 |          0 |          0 |          5 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\notification-new.svg                                | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\notification.svg                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\phone.svg                                           | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\pin.svg                                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\plus.svg                                            | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\search.svg                                          | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\selector-down.svg                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\selector-up.svg                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\settings.svg                                        | XML                |          5 |          0 |          0 |          5 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\share.svg                                           | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\sort-asc.svg                                        | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\sort-desc.svg                                       | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\tablet.svg                                          | XML                |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\trash-filled.svg                                    | XML                |          5 |          0 |          0 |          5 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\trash.svg                                           | XML                |          8 |          0 |          0 |          8 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\unlink.svg                                          | XML                |         19 |          1 |          1 |         21 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\upload-picture.svg                                  | XML                |          5 |          0 |          0 |          5 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\user-check.svg                                      | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\user-follow.svg                                     | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\user.svg                                            | XML                |          5 |          0 |          0 |          5 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\warning-circle-filled.svg                           | XML                |          2 |          0 |          0 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\warning-circle.svg                                  | XML                |          2 |          0 |          0 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\warning-hex-filled.svg                              | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\warning-hex.svg                                     | XML                |          6 |          0 |          0 |          6 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\warning-triangle-filled.svg                         | XML                |         10 |          1 |          1 |         12 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\warning-triangle.svg                                | XML                |          4 |          0 |          0 |          4 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\img\eat-placeholder.svg                                   | XML                |          2 |          1 |          0 |          3 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\img\img-placeholder.svg                                   | XML                |          2 |          0 |          0 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\img\pattern-night-theme.svg                               | XML                |          8 |          2 |          0 |         10 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\img\pattern.svg                                           | XML                |          8 |          2 |          0 |         10 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\map.geojson                                               | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\App.scss                                                     | SCSS               |         50 |          0 |          7 |         57 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\App.tsx                                                      | TypeScript JSX     |         67 |         16 |         13 |         96 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\CategoryCard\CategoryCard.module.scss             | SCSS               |        135 |          0 |         18 |        153 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\CategoryCard\CategoryCard.tsx                     | TypeScript JSX     |         57 |          0 |          7 |         64 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\CategoryCard\index.tsx                            | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Crumbs\Crumbs.module.scss                         | SCSS               |         38 |          0 |          8 |         46 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Crumbs\Crumbs.tsx                                 | TypeScript JSX     |         48 |          0 |          7 |         55 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Crumbs\index.tsx                                  | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\EditName\EditName.tsx                             | TypeScript JSX     |         54 |          0 |          8 |         62 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\EditName\index.tsx                                | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Header\Header.module.scss                         | SCSS               |         73 |          0 |         10 |         83 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Header\Header.tsx                                 | TypeScript JSX     |        159 |          0 |         21 |        180 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Loader\Loader.module.scss                         | SCSS               |         25 |          0 |          4 |         29 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Loader\Loader.tsx                                 | TypeScript JSX     |         31 |          0 |          4 |         35 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Loader\index.tsx                                  | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\LogoutButton\Logout.module.scss                   | SCSS               |          3 |          0 |          0 |          3 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\LogoutButton\LogoutButton.tsx                     | TypeScript JSX     |         23 |          0 |          6 |         29 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\LogoutButton\index.tsx                            | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\NavigationMenu\NavigationManu.tsx                 | TypeScript JSX     |         58 |          0 |          8 |         66 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\NavigationMenu\NavigationMenu.module.scss         | SCSS               |         73 |          0 |         11 |         84 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\NavigationMenu\index.tsx                          | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Portal\Portal.tsx                                 | TypeScript JSX     |         12 |          0 |          5 |         17 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\Portal\index.tsx                                  | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\RecipeCard\RecipeCard.module.scss                 | SCSS               |        139 |          0 |         23 |        162 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\RecipeCard\RecipeCard.tsx                         | TypeScript JSX     |         97 |          0 |         11 |        108 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\RecipeCard\index.tsx                              | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\RecipesGrid\RecipesGrid.module.scss               | SCSS               |         23 |          0 |          5 |         28 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\RecipesGrid\RecipesGrid.tsx                       | TypeScript JSX     |         67 |          0 |         11 |         78 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\RecipesGrid\index.tsx                             | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\ThemeSwitcher\ThemeSwitcher.module.scss           | SCSS               |         35 |          0 |          5 |         40 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\ThemeSwitcher\ThemeSwitcher.tsx                   | TypeScript JSX     |         32 |          0 |          6 |         38 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\components\ThemeSwitcher\index.tsx                           | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\context\ThemeContext.tsx                                     | TypeScript JSX     |         20 |          0 |          6 |         26 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\ImageUploader\ImageUplodaer.tsx                     | TypeScript JSX     |        105 |          0 |          8 |        113 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\ImageUploader\index.tsx                             | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\EditingUserData\EditingUserData.module.scss | SCSS               |          9 |          0 |          1 |         10 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\EditingUserData\EditingUserData.tsx         | TypeScript JSX     |         17 |          0 |          4 |         21 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\EditingUserData\index.tsx                   | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserCategories\UserCategories.module.scss   | SCSS               |         51 |          0 |          8 |         59 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserCategories\UserCategories.tsx           | TypeScript JSX     |        177 |          0 |         29 |        206 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserCategories\index.tsx                    | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserData\UserData.module.scss               | SCSS               |          8 |          0 |          0 |          8 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserData\UserData.tsx                       | TypeScript JSX     |         19 |          0 |          3 |         22 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserData\index.tsx                          | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserDevices\UserDevices.module.scss         | SCSS               |         35 |          0 |         10 |         45 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserDevices\UserDevices.tsx                 | TypeScript JSX     |         54 |          0 |          9 |         63 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserDevices\index.tsx                       | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserProfile\UserProfile.module.scss         | SCSS               |         26 |          0 |          7 |         33 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserProfile\UserProfile.tsx                 | TypeScript JSX     |         32 |          0 |          7 |         39 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserProfile\index.tsx                       | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserRecipes\UserRecipes.module.scss         | SCSS               |         23 |          0 |          5 |         28 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserRecipes\UserRecipes.tsx                 | TypeScript JSX     |        110 |          0 |         16 |        126 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserRecipes\index.tsx                       | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserSettings\UserSettings.module.scss       | SCSS               |         32 |          0 |          6 |         38 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserSettings\UserSettings.tsx               | TypeScript JSX     |        224 |          0 |         30 |        254 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\features\Profile\UserSettings\index.tsx                      | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\hooks\useAuth.ts                                             | TypeScript         |         30 |          0 |          6 |         36 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\hooks\useCrumbs.ts                                           | TypeScript         |         11 |          0 |          5 |         16 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\index.scss                                                   | SCSS               |         26 |          0 |          5 |         31 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\main.tsx                                                     | TypeScript JSX     |         16 |          0 |          4 |         20 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Authorization\Authorization.module.scss                | SCSS               |         31 |          0 |          4 |         35 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Authorization\Authorization.tsx                        | TypeScript JSX     |        166 |          0 |         27 |        193 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Authorization\index.tsx                                | TypeScript JSX     |          1 |          0 |          1 |          2 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Categories\Categories.module.scss                      | SCSS               |         16 |          0 |          3 |         19 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Categories\Categories.tsx                              | TypeScript JSX     |         50 |          0 |          7 |         57 |
| c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\src\pages\Categories\index.tsx                                   | TypeScript JSX     |          1 |          0 |          1 |          2 |
